seqnames	start	end	width	strand	Conc	Conc_haplotype1	Conc_haplotype2	Fold	pvalue	FDR	new_fdr
chr6	4515309	4516588	1280	*	2.96	3.91	-0.9	4.82	7.610000000000001e-10	2.25e-08	3.470160000000001e-08
chr6	53796663	53797364	702	*	3.91	4.88	-0.9	5.78	9.300000000000001e-10	2.69e-08	4.1230000000000006e-08
chr6	2853946	2854328	383	*	3.8	-0.85	4.77	-5.62	1.2e-09	3.39e-08	5.1762162162162164e-08
chr6	34424663	34425565	903	*	4.23	-0.85	5.21	-6.06	1.55e-09	4.3e-08	6.510000000000001e-08
chr6	142946045	142946619	575	*	3.34	-0.85	4.3	-5.15	1.66e-09	4.54e-08	6.793230769230769e-08
chr6	21597492	21598368	877	*	4.09	5.06	-0.9	5.97	2.0600000000000003e-09	5.51e-08	8.219400000000001e-08
chr6	125749592	125749948	357	*	3.43	-0.77	4.39	-5.15	2.32e-09	6.11e-08	9.031024390243903e-08
chr6	26677507	26693896	16390	*	2.76	3.7	-0.9	4.6	2.59e-09	6.690000000000001e-08	9.842e-08
chr6	7108689	7109682	994	*	5.25	6.23	0.35	5.88	3.6599999999999998e-09	9.289999999999999e-08	1.3584558139534884e-07
chr6	27157758	27158260	503	*	3.52	-0.85	4.48	-5.33	6.8700000000000005e-09	1.71e-07	2.491936363636364e-07
chr6	53359585	53360009	425	*	3.67	-0.85	4.64	-5.49	7.6e-09	1.83e-07	2.695466666666667e-07
chr6	89350930	89351953	1024	*	3.75	-0.85	4.72	-5.57	8.58e-09	2e-07	2.976886956521739e-07
chr6	158646262	158646717	456	*	2.86	-0.85	3.81	-4.66	9.03e-09	2.07e-07	3.066357446808511e-07
chr6	6008718	6009291	574	*	3.36	4.32	-0.54	4.86	1.1899999999999999e-08	2.69e-07	3.95675e-07
chr6	32635466	32638246	2781	*	3.88	0.07	4.82	-4.76	1.29e-08	2.88e-07	4.2017142857142857e-07
chr6	109879633	109880058	426	*	3.09	4.04	-0.83	4.87	1.58e-08	3.45e-07	5.04336e-07
chr6	142029311	142030161	851	*	4.36	-0.31	5.33	-5.64	2.23e-08	4.82e-07	6.978588235294118e-07
chr6	138509434	138509792	359	*	3.06	-0.85	4.01	-4.86	2.57e-08	5.46e-07	7.887923076923077e-07
chr6	38754291	38755050	760	*	3.65	4.61	-0.6	5.21	2.7900000000000002e-08	5.85e-07	8.401584905660378e-07
chr6	41274355	41276887	2533	*	2.63	3.56	-0.9	4.47	3.46e-08	7.159999999999999e-07	1.0226222222222222e-06
chr6	87700002	87700600	599	*	3.78	4.75	-0.9	5.65	3.72e-08	7.58e-07	1.0794763636363637e-06
chr6	87702736	87703334	599	*	3.33	4.3	-0.9	5.2	4.0199999999999996e-08	8.079999999999999e-07	1.1456999999999999e-06
chr6	6617932	6619845	1914	*	2.31	3.23	-0.9	4.13	5.34e-08	1.06e-06	1.4952e-06
chr6	3482326	3483106	781	*	2.12	3.03	-0.9	3.94	6.929999999999999e-08	1.35e-06	1.9069448275862067e-06
chr6	13873975	13874531	557	*	3.13	4.09	-0.9	4.99	7.51e-08	1.45e-06	2.0315186440677968e-06
chr6	7814158	7815591	1434	*	2.26	3.17	-0.9	4.08	1e-07	1.91e-06	2.66e-06
chr6	41779216	41779646	431	*	2.72	3.66	-0.9	4.57	1.35e-07	2.54e-06	3.532131147540984e-06
chr6	26696196	26698698	2503	*	1.76	2.65	-0.9	3.55	1.5e-07	2.79e-06	3.861290322580645e-06
chr6	26439988	26440422	435	*	3.12	-0.85	4.07	-4.92	1.59e-07	2.91e-06	4.028e-06
chr6	53746769	53747351	583	*	2.51	3.44	-0.9	4.34	1.62e-07	2.93e-06	4.039875e-06
chr6	170291198	170291572	375	*	2.82	-0.85	3.76	-4.61	1.75e-07	3.12e-06	4.296923076923077e-06
chr6	53752656	53753912	1257	*	2.87	3.82	-0.9	4.72	1.82e-07	3.2e-06	4.383044776119403e-06
chr6	4568018	4569526	1509	*	2.25	3.17	-0.9	4.07	1.8399999999999998e-07	3.2e-06	4.383044776119403e-06
chr6	27761984	27762917	934	*	5.38	6.32	1.62	4.71	2e-07	3.45e-06	4.694117647058824e-06
chr6	109318616	109319133	518	*	2.62	3.56	-0.9	4.46	2.03e-07	3.45e-06	4.695478260869565e-06
chr6	136510464	136511735	1272	*	2.55	-0.85	3.48	-4.33	2.17e-07	3.64e-06	4.92287323943662e-06
chr6	170288871	170289450	580	*	2.56	-0.85	3.49	-4.34	2.19e-07	3.64e-06	4.92287323943662e-06
chr6	47162798	47163592	795	*	2.67	-0.85	3.61	-4.46	2.24e-07	3.69e-06	4.965333333333333e-06
chr6	21423488	21424080	593	*	3.99	4.92	0.64	4.28	2.37e-07	3.86e-06	5.181534246575342e-06
chr6	84625179	84626981	1803	*	6.42	2.65	7.37	-4.72	2.7600000000000004e-07	4.44e-06	5.95264864864865e-06
chr6	8158467	8158890	424	*	2.98	3.93	-0.9	4.84	3.46e-07	5.5e-06	7.3628800000000006e-06
chr6	10693872	10694657	786	*	5.15	6.11	0.89	5.22	4.16e-07	6.46e-06	8.736e-06
chr6	24668798	24669368	571	*	3.14	4.06	0.04	4.02	4.25e-07	6.54e-06	8.80909090909091e-06
chr6	167167501	167168004	504	*	2.23	-0.65	3.13	-3.78	4.95e-07	7.54e-06	1.012846153846154e-05
chr6	118709487	118709836	350	*	2.18	-0.76	3.09	-3.84	5.09e-07	7.66e-06	1.0283088607594938e-05
chr6	6040509	6042302	1794	*	1.9	2.79	-0.9	3.69	6.57e-07	9.69e-06	1.310715e-05
chr6	142026652	142027923	1272	*	4.05	1.09	4.95	-3.87	7.559999999999999e-07	1.1e-05	1.4896e-05
chr6	28399030	28399832	803	*	4.79	1.2	5.73	-4.52	8.61e-07	1.24e-05	1.6758e-05
chr6	157220622	157221168	547	*	2.88	-0.85	3.82	-4.67	1.07e-06	1.53e-05	2.0574939759036143e-05
chr6	98825837	98827143	1307	*	1.84	2.72	-0.9	3.63	1.1e-06	1.55e-05	2.0900000000000003e-05
chr6	6751557	6752094	538	*	2.13	3.04	-0.9	3.94	1.5e-06	2.1e-05	2.8164705882352942e-05
chr6	5002993	5003612	620	*	2.99	-0.48	3.93	-4.41	1.65e-06	2.2899999999999998e-05	3.0620930232558146e-05
chr6	160766853	160767808	956	*	4.82	1.81	5.73	-3.91	3.48e-06	4.7499999999999996e-05	6.384000000000001e-05
chr6	42911340	42912033	694	*	4.16	5.05	1.48	3.57	4.14e-06	5.59e-05	7.508454545454546e-05
chr6	1056331	1057078	748	*	3.59	0.17	4.52	-4.35	5.96e-06	7.840000000000001e-05	0.00010687820224719102
chr6	99177565	99178256	692	*	2.61	3.52	-0.4	3.92	6.79e-06	8.85e-05	0.00012040933333333334
chr6	5851020	5852063	1044	*	3.74	4.64	0.89	3.75	7.87e-06	0.000102	0.0001377417391304348
chr6	53735699	53736104	406	*	2.03	2.93	-0.9	3.83	7.94e-06	0.000102	0.0001377417391304348
chr6	170398629	170398984	356	*	3.26	4.12	0.76	3.36	1.01e-05	0.000127	0.00017332903225806453
chr6	39218011	39218390	380	*	2.4	3.3	-0.39	3.69	1.0800000000000002e-05	0.000134	0.00018144000000000002
chr6	27793216	27793758	543	*	2.54	3.45	-0.46	3.91	1.0800000000000002e-05	0.000134	0.00018144000000000002
chr6	27030179	27031743	1565	*	1.77	-0.71	2.63	-3.34	1.1400000000000001e-05	0.000139	0.00018952500000000004
chr6	27815284	27815836	553	*	3.44	4.35	0.46	3.89	1.1599999999999999e-05	0.00014099999999999998	0.0001908618556701031
chr6	1252331	1253050	720	*	3.26	4.17	0.28	3.89	1.4000000000000001e-05	0.000169	0.00022800000000000004
chr6	150490275	150490652	378	*	1.97	-0.85	2.86	-3.71	1.75e-05	0.00020899999999999998	0.0002821212121212121
chr6	25710048	25710678	631	*	3.98	4.83	1.61	3.22	1.95e-05	0.00023199999999999997	0.00031122
chr6	34719358	34720173	816	*	4.3	5.2	1.35	3.84	2.4299999999999998e-05	0.000286	0.00038398811881188116
chr6	26253543	26254385	843	*	4.8	5.72	1.57	4.14	3.24e-05	0.00037799999999999997	0.0005069647058823529
chr6	46734459	46735988	1530	*	3.94	1.76	4.77	-3.01	5.08e-05	0.000587	0.0007871533980582524
chr6	6215559	6216767	1209	*	1.75	-0.27	2.56	-2.83	7.68e-05	0.000875	0.0011785846153846153
chr6	169655055	169655996	942	*	3.81	1.17	4.69	-3.52	8.4e-05	0.000949	0.0012768
chr6	863600	863959	360	*	1.32	-0.85	2.15	-3.0	0.00011200000000000001	0.00126	0.0016863396226415098
chr6	153979013	153980118	1106	*	5.08	2.86	5.92	-3.06	0.000121	0.00134	0.0018048224299065422
chr6	20023886	20025260	1375	*	2.29	0.41	3.08	-2.66	0.000278	0.003	0.004108222222222222
chr6	169174860	169175402	543	*	3.69	1.61	4.51	-2.9	0.000392	0.0041600000000000005	0.005739743119266055
chr6	134714479	134715085	607	*	3.08	0.98	3.9	-2.92	0.000425	0.00442	0.0061663636363636365
chr6	150747666	150748259	594	*	3.59	1.6	4.4	-2.79	0.000462	0.00474	0.006626250000000001
chr6	124348420	124349529	1110	*	4.74	5.55	2.74	2.81	0.000465	0.00474	0.006626250000000001
chr6	113530887	113531987	1101	*	5.96	6.83	3.5	3.32	0.0005610000000000001	0.0056700000000000006	0.007923504424778762
chr6	44328408	44330717	2310	*	2.66	1.02	3.41	-2.4	0.000749	0.007529999999999999	0.010486
chr6	107290250	107290730	481	*	2.81	0.97	3.59	-2.62	0.000758	0.00755	0.010519721739130435
chr6	7242439	7242843	405	*	2.25	3.06	0.21	2.85	0.000778	0.00771	0.010704206896551726
chr6	27776565	27776873	309	*	1.87	2.66	-0.01	2.67	0.000839	0.00826	0.011444820512820513
chr6	82101136	82102105	970	*	4.94	5.76	2.84	2.92	0.00123	0.012	0.01663627118644068
chr6	52285158	52285505	348	*	2.93	1.0	3.73	-2.73	0.0012699999999999999	0.0123	0.017032941176470588
chr6	127593157	127593914	758	*	4.15	4.92	2.4	2.52	0.00135	0.013000000000000001	0.017955000000000002
chr6	85643552	85643864	313	*	1.43	-0.31	2.2	-2.51	0.00164	0.0157	0.021631735537190083
chr6	73653460	73653858	399	*	2.13	2.91	0.27	2.65	0.00186	0.0177	0.024332459016393446
chr6	49387167	49387848	682	*	3.55	4.35	1.59	2.76	0.0020800000000000003	0.0197	0.02698926829268293
chr6	13724504	13725153	650	*	1.92	0.17	2.69	-2.52	0.0024	0.0225	0.03089032258064516
chr6	167421744	167422349	606	*	1.28	-0.23	2.0	-2.23	0.00374	0.0349	0.04775232
chr6	89817959	89818954	996	*	3.38	1.52	4.17	-2.65	0.00425	0.0394	0.05383333333333334
chr6	46935948	46936580	633	*	2.83	3.56	1.3	2.26	0.00436	0.0401	0.05479181102362205
chr6	161500602	161501470	869	*	1.52	2.19	0.22	1.97	0.0049	0.0445	0.061096875
chr6	27823930	27824474	545	*	4.12	4.89	2.38	2.5	0.0059299999999999995	0.0533	0.07336651162790697
chr6	139156736	139157198	463	*	2.67	1.17	3.39	-2.21	0.00629	0.0561	0.07722184615384615
chr6	45535124	45535733	610	*	1.29	-0.25	2.01	-2.26	0.0070799999999999995	0.0628	0.08625709923664122
chr6	154245798	154247106	1309	*	2.68	1.45	3.34	-1.89	0.00772	0.0676	0.09334181818181819
chr6	168608802	168609376	575	*	3.6	2.24	4.29	-2.05	0.00828	0.0721	0.09935999999999999
chr6	141562621	141563056	436	*	3.2	1.85	3.88	-2.03	0.00952	0.0819	0.11338746268656717
chr6	113857528	113857861	334	*	2.06	2.76	0.64	2.12	0.0122	0.10400000000000001	0.14423111111111112
chr6	150142503	150145446	2944	*	4.84	3.64	5.48	-1.84	0.0123	0.10400000000000001	0.14434411764705884
chr6	157690990	157692059	1070	*	3.98	2.78	4.62	-1.84	0.0128	0.109	0.1491153284671533
chr6	125746383	125749132	2750	*	5.43	4.05	6.12	-2.07	0.0142	0.11900000000000001	0.16422608695652174
chr6	2619205	2620115	911	*	2.71	3.34	1.58	1.76	0.0152	0.127	0.17452661870503597
chr6	154157152	154157507	356	*	2.66	1.64	3.26	-1.62	0.0182	0.15	0.20748000000000003
chr6	28204786	28207888	3103	*	4.18	4.82	3.0	1.82	0.019	0.156	0.21467323943661973
chr6	167140208	167141891	1684	*	4.72	5.34	3.59	1.75	0.0191	0.156	0.21467323943661973
chr6	31358787	31361429	2643	*	4.2	4.86	2.96	1.9	0.0196	0.159	0.21834166666666666
chr6	10134121	10134818	698	*	3.81	2.44	4.51	-2.07	0.0197	0.159	0.21834166666666666
chr6	129835601	129835948	348	*	3.11	3.74	1.95	1.79	0.0225	0.17800000000000002	0.24765517241379312
chr6	150203392	150204144	753	*	2.32	1.12	2.97	-1.85	0.0242	0.192	0.26454246575342466
chr6	46925257	46925682	426	*	2.63	3.27	1.46	1.81	0.0262	0.20600000000000002	0.2844571428571429
chr6	109834614	109834962	349	*	1.63	0.74	2.18	-1.45	0.0296	0.23	0.31920000000000004
chr6	170494843	170498265	3423	*	5.47	6.09	4.35	1.74	0.0344	0.266	0.3684724832214765
chr6	113861422	113862311	890	*	3.35	2.07	4.01	-1.94	0.0353	0.272	0.375592
chr6	129172123	129173182	1060	*	2.92	3.46	2.03	1.43	0.0381	0.292	0.40269933774834443
chr6	1534187	1534686	500	*	1.17	0.4	1.68	-1.28	0.0387	0.295	0.40578039215686273
chr6	136821761	136823797	2037	*	5.13	5.79	3.87	1.92	0.0389	0.295	0.40578039215686273
chr6	28079459	28079956	498	*	4.19	4.88	2.83	2.06	0.0395	0.298	0.4093636363636364
chr6	40618744	40622991	4248	*	4.3	3.23	4.91	-1.68	0.0446	0.33399999999999996	0.4592361290322581
chr6	164011706	164013639	1934	*	2.75	1.91	3.28	-1.37	0.0461	0.344	0.47163846153846156
chr6	85389606	85390173	568	*	3.76	4.32	2.84	1.48	0.047	0.348	0.4777834394904459
chr6	163644854	163645814	961	*	3.15	2.29	3.68	-1.39	0.0475	0.35100000000000003	0.4798101265822785
chr6	160791419	160791816	398	*	3.12	2.21	3.67	-1.46	0.0487	0.35700000000000004	0.48883773584905665
chr6	152326523	152327833	1311	*	1.99	1.17	2.52	-1.35	0.0584	0.424	0.5825400000000001
chr6	25962439	25963651	1213	*	5.46	4.23	6.11	-1.88	0.0616	0.44299999999999995	0.6106434782608696
chr6	138813454	138814940	1487	*	4.02	3.15	4.56	-1.41	0.0623	0.446	0.6137703703703704
chr6	158643703	158645035	1333	*	5.71	4.56	6.35	-1.79	0.0628	0.447	0.6149006134969325
chr6	135943839	135944269	431	*	1.79	1.02	2.29	-1.27	0.0644	0.456	0.6267219512195122
chr6	12012464	12013901	1438	*	5.0	5.65	3.78	1.87	0.0674	0.473	0.6519418181818182
chr6	113631656	113632347	692	*	4.52	5.16	3.33	1.83	0.0699	0.489	0.6720506024096387
chr6	8239327	8241629	2303	*	2.79	3.34	1.87	1.47	0.0708	0.49200000000000005	0.6766275449101797
chr6	161375257	161375655	399	*	3.04	3.56	2.21	1.35	0.0802	0.555	0.7619
chr6	124825707	124826966	1260	*	1.57	0.85	2.05	-1.2	0.0812	0.5589999999999999	0.7668355029585798
chr6	138497557	138499431	1875	*	5.23	4.16	5.84	-1.67	0.0822	0.561	0.7717129411764706
chr6	49712988	49714875	1888	*	3.72	2.92	4.23	-1.32	0.0828	0.562	0.7728
chr6	36961025	36961398	374	*	2.65	1.69	3.22	-1.53	0.0859	0.581	0.7970720930232559
chr6	159399754	159402491	2738	*	2.43	2.96	1.59	1.37	0.08900000000000001	0.596	0.8210635838150291
chr6	108158005	108158791	787	*	2.16	2.64	1.41	1.23	0.0923	0.612	0.8466137931034483
chr6	148566160	148566493	334	*	3.0	2.13	3.54	-1.41	0.0953	0.629	0.869136
chr6	43426947	43427308	362	*	2.5	1.78	2.97	-1.2	0.0974	0.64	0.8832409090909091
chr6	27771487	27775293	3807	*	6.48	7.0	5.65	1.35	0.102	0.6609999999999999	0.919728813559322
chr6	169782699	169782933	235	*	0.84	1.32	0.14	1.18	0.10300000000000001	0.664	0.9235280898876406
chr6	125529329	125531532	2204	*	2.34	1.56	2.84	-1.28	0.105	0.6759999999999999	0.9362011173184358
chr6	4776771	4777795	1025	*	5.97	6.58	4.91	1.67	0.10800000000000001	0.693	0.9576000000000001
chr6	160977836	160978592	757	*	2.19	1.54	2.63	-1.1	0.109	0.693	0.9611270718232044
chr6	6626633	6627402	770	*	1.98	2.44	1.31	1.13	0.11199999999999999	0.7090000000000001	0.9821538461538462
chr6	19221152	19222352	1201	*	2.53	1.84	3.0	-1.16	0.115	0.725	1.0
chr6	35394466	35395156	691	*	3.25	2.47	3.75	-1.28	0.11699999999999999	0.73	1.0
chr6	6337301	6341594	4294	*	3.64	4.14	2.87	1.27	0.11800000000000001	0.73	1.0
chr6	47897080	47897792	713	*	2.2	2.62	1.6	1.03	0.11800000000000001	0.73	1.0
chr6	4594742	4597439	2698	*	3.32	3.8	2.6	1.2	0.11900000000000001	0.735	1.0
chr6	1029116	1029588	473	*	3.11	2.36	3.6	-1.24	0.124	0.76	1.0
chr6	17101399	17102711	1313	*	2.73	3.2	2.04	1.16	0.124	0.7609999999999999	1.0
chr6	40671891	40673864	1974	*	3.21	3.65	2.57	1.08	0.127	0.773	1.0
chr6	56785299	56785987	689	*	5.36	5.93	4.41	1.52	0.127	0.773	1.0
chr6	44126930	44127769	840	*	4.0	4.59	3.01	1.57	0.132	0.8	1.0
chr6	156994575	156995169	595	*	3.22	2.41	3.74	-1.33	0.134	0.8059999999999999	1.0
chr6	26322064	26322754	691	*	5.5	6.06	4.57	1.49	0.134	0.8059999999999999	1.0
chr6	47403974	47404882	909	*	4.87	5.45	3.9	1.54	0.135	0.8079999999999999	1.0
chr6	159078558	159079273	716	*	1.84	1.2	2.29	-1.09	0.138	0.82	1.0
chr6	112856982	112857782	801	*	2.17	1.46	2.65	-1.19	0.14300000000000002	0.845	1.0
chr6	155516909	155517260	352	*	1.42	0.78	1.86	-1.08	0.15	0.8859999999999999	1.0
chr6	39206852	39207478	627	*	2.79	3.24	2.12	1.12	0.152	0.895	1.0
chr6	150491011	150491853	843	*	4.68	3.8	5.22	-1.42	0.155	0.895	1.0
chr6	5084305	5085114	810	*	4.74	5.24	3.98	1.26	0.155	0.895	1.0
chr6	109293382	109296618	3237	*	6.04	6.59	5.15	1.44	0.155	0.895	1.0
chr6	70944197	70949523	5327	*	4.77	5.18	4.21	0.96	0.155	0.895	1.0
chr6	3808462	3809215	754	*	4.58	4.99	4.0	0.98	0.158	0.909	1.0
chr6	131896035	131896477	443	*	1.7	0.99	2.17	-1.18	0.161	0.9159999999999999	1.0
chr6	87358667	87359030	364	*	3.09	3.6	2.29	1.31	0.16399999999999998	0.9279999999999999	1.0
chr6	107958437	107959017	581	*	4.63	3.82	5.14	-1.32	0.165	0.9309999999999999	1.0
chr6	125625177	125625952	776	*	1.7	1.12	2.11	-0.99	0.166	0.932	1.0
chr6	88662360	88663073	714	*	4.28	3.64	4.73	-1.09	0.16699999999999998	0.937	1.0
chr6	150185131	150185859	729	*	3.26	2.55	3.74	-1.18	0.17300000000000001	0.961	1.0
chr6	3534853	3535911	1059	*	2.52	2.91	1.98	0.93	0.17300000000000001	0.961	1.0
chr6	156885896	156886644	749	*	3.01	3.44	2.39	1.05	0.174	0.961	1.0
chr6	3069696	3070072	377	*	2.64	3.12	1.93	1.19	0.174	0.961	1.0
chr6	125698243	125700415	2173	*	3.29	2.68	3.72	-1.04	0.175	0.963	1.0
chr6	4461906	4463730	1825	*	2.7	3.09	2.14	0.95	0.177	0.9690000000000001	1.0
chr6	132869140	132870339	1200	*	2.58	2.0	3.0	-1.0	0.182	0.992	1.0
chr6	139148358	139148852	495	*	2.5	1.8	2.97	-1.17	0.184	0.9990000000000001	1.0
chr6	160210501	160213060	2560	*	3.12	2.55	3.52	-0.97	0.18600000000000003	0.9990000000000001	1.0
chr6	1376798	1380857	4060	*	4.69	4.19	5.06	-0.87	0.18899999999999997	0.9990000000000001	1.0
chr6	156782418	156783099	682	*	3.15	2.48	3.6	-1.12	0.19	0.9990000000000001	1.0
chr6	99868025	99868274	250	*	1.37	1.79	0.77	1.02	0.191	0.9990000000000001	1.0
chr6	110568169	110569326	1158	*	3.81	4.25	3.18	1.07	0.19699999999999998	0.9990000000000001	1.0
chr6	159068425	159070929	2505	*	3.04	2.44	3.45	-1.01	0.198	0.9990000000000001	1.0
chr6	142015771	142016422	652	*	3.01	3.49	2.31	1.18	0.19899999999999998	0.9990000000000001	1.0
chr6	131627364	131628133	770	*	4.54	3.63	5.1	-1.47	0.19899999999999998	0.9990000000000001	1.0
chr6	137535534	137536551	1018	*	2.28	1.75	2.67	-0.92	0.19899999999999998	0.9990000000000001	1.0
chr6	47126281	47126933	653	*	3.86	4.33	3.17	1.15	0.2	0.9990000000000001	1.0
chr6	44757099	44758756	1658	*	2.55	2.95	1.99	0.96	0.20199999999999999	0.9990000000000001	1.0
chr6	133881859	133885908	4050	*	3.96	3.31	4.41	-1.1	0.20199999999999999	0.9990000000000001	1.0
chr6	127342234	127343016	783	*	4.17	3.43	4.66	-1.23	0.203	0.9990000000000001	1.0
chr6	42704598	42705001	404	*	2.74	3.16	2.16	1.0	0.20600000000000002	0.9990000000000001	1.0
chr6	161438080	161440087	2008	*	3.42	3.81	2.89	0.92	0.213	0.9990000000000001	1.0
chr6	3349593	3350312	720	*	3.94	3.39	4.33	-0.94	0.21600000000000003	0.9990000000000001	1.0
chr6	27825877	27827506	1630	*	5.8	5.07	6.28	-1.21	0.218	0.9990000000000001	1.0
chr6	16262452	16263834	1383	*	2.59	2.98	2.04	0.94	0.22	0.9990000000000001	1.0
chr6	167459239	167460403	1165	*	1.87	2.24	1.36	0.89	0.223	0.9990000000000001	1.0
chr6	163412469	163412960	492	*	2.49	1.96	2.88	-0.92	0.225	0.9990000000000001	1.0
chr6	4265919	4267573	1655	*	3.05	3.46	2.47	0.98	0.22699999999999998	0.9990000000000001	1.0
chr6	38795299	38797161	1863	*	5.6	6.01	5.02	0.99	0.233	0.9990000000000001	1.0
chr6	150201386	150201752	367	*	2.47	1.84	2.91	-1.06	0.233	0.9990000000000001	1.0
chr6	12228999	12229298	300	*	3.61	3.98	3.13	0.84	0.23600000000000002	0.9990000000000001	1.0
chr6	149134730	149135069	340	*	2.52	1.91	2.95	-1.04	0.23600000000000002	0.9990000000000001	1.0
chr6	164007825	164009909	2085	*	2.77	2.25	3.15	-0.9	0.23800000000000002	0.9990000000000001	1.0
chr6	7727210	7727728	519	*	2.03	1.54	2.4	-0.86	0.239	0.9990000000000001	1.0
chr6	133919227	133920650	1424	*	1.98	1.53	2.33	-0.8	0.243	0.9990000000000001	1.0
chr6	170055220	170056482	1263	*	2.63	2.18	2.97	-0.79	0.24600000000000002	0.9990000000000001	1.0
chr6	39535359	39536477	1119	*	1.03	1.38	0.55	0.83	0.247	0.9990000000000001	1.0
chr6	99348004	99349282	1279	*	3.06	2.54	3.44	-0.9	0.247	0.9990000000000001	1.0
chr6	44773969	44774616	648	*	1.75	2.14	1.21	0.92	0.25	0.9990000000000001	1.0
chr6	38797729	38798245	517	*	4.42	4.86	3.77	1.08	0.25	0.9990000000000001	1.0
chr6	89081137	89081600	464	*	2.93	2.28	3.37	-1.09	0.255	0.9990000000000001	1.0
chr6	146967399	146968233	835	*	1.68	1.21	2.04	-0.83	0.256	0.9990000000000001	1.0
