ensembl_gene_id	hgnc_symbol	chromosome_name	start_position	end_position
ENSG00000070495	JMJD6	17	76712832	76726799
ENSG00000070731	ST6GALNAC2	17	76565377	76586956
ENSG00000070756	PABPC1	8	100685816	100722809
ENSG00000071082	RPL31	2	101002229	101024032
ENSG00000071242	RPS6KA2	6	166409364	166906451
ENSG00000071794	HLTF	3	149030127	149086554
ENSG00000071994	PDCD2	6	170575295	170584692
ENSG00000073060	SCARB1	12	124776856	124882668
ENSG00000073350	LLGL2	17	75525080	75575209
ENSG00000074356	NCBP3	17	3802158	3846246
ENSG00000074696	HACD3	15	65530418	65578349
ENSG00000074706	IPCEF1	6	154154496	154356803
ENSG00000074800	ENO1	1	8861000	8879190
ENSG00000074935	TUBE1	6	112070663	112087529
ENSG00000075151	EIF4G3	1	20806292	21177285
ENSG00000075624	ACTB	7	5526409	5563902
ENSG00000075785	RAB7A	3	128693669	128825942
ENSG00000076242	MLH1	3	36993350	37050846
ENSG00000076513	ANKRD13A	12	109999186	110039763
ENSG00000076554	TPD52	8	80034745	80231232
ENSG00000077044	DGKD	2	233354494	233472104
ENSG00000077463	SIRT6	19	4174109	4182566
ENSG00000077721	UBE2A	X	119574536	119591083
ENSG00000078124	ACER3	11	76860859	77026797
ENSG00000078140	UBE2K	4	39698109	39782792
ENSG00000078142	PIK3C3	18	41955234	42087830
ENSG00000078269	SYNJ2	6	157981863	158099176
ENSG00000078369	GNB1	1	1785285	1891117
ENSG00000078401	EDN1	6	12290361	12297194
ENSG00000079277	MKNK1	1	46557407	46616843
ENSG00000079459	FDFT1	8	11795573	11839304
ENSG00000079689	SCGN	6	25652201	25701783
ENSG00000079691	CARMIL1	6	25279078	25620530
ENSG00000079819	EPB41L2	6	130839347	131063322
ENSG00000079841	RIMS1	6	71886550	72403145
ENSG00000079931	MOXD1	6	132296055	132401475
ENSG00000079950	STX7	6	132445867	132513198
ENSG00000080007	DDX43	6	73394828	73417566
ENSG00000080345	RIF1	2	151409883	151508013
ENSG00000080546	SESN1	6	108984309	109094846
ENSG00000080824	HSP90AA1	14	102080742	102139699
ENSG00000081019	RSBN1	1	113761832	113812476
ENSG00000081087	OSTM1	6	108041409	108165854
ENSG00000082068	WDR70	5	37379285	37753435
ENSG00000082258	CCNT2	2	134918235	134959342
ENSG00000082269	FAM135A	6	70412941	70561174
ENSG00000082293	COL19A1	6	69866556	70212468
ENSG00000082515	MRPL22	5	154941073	154969411
ENSG00000082898	XPO1	2	61476032	61538741
ENSG00000083097	DOP1A	6	83067666	83171350
ENSG00000083099	LYRM2	6	89568144	89638749
ENSG00000083123	BCKDHB	6	80106647	80346270
ENSG00000083457	ITGAE	17	3714628	3801188
ENSG00000083857	FAT1	4	186587794	186726722
ENSG00000083937	CHMP2B	3	87227271	87255556
ENSG00000084072	PPIE	1	39692182	39763914
ENSG00000084234	APLP2	11	130068147	130144811
ENSG00000084623	EIF3I	1	32221077	32245397
ENSG00000085117	CD82	11	44564427	44620358
ENSG00000085377	PREP	6	105273218	105454062
ENSG00000085382	HACE1	6	104728094	104859919
ENSG00000085511	MAP3K4	6	160991727	161117385
ENSG00000085832	EPS15	1	51354263	51519266
ENSG00000087086	FTL	19	48965309	48966879
ENSG00000087111	PIGS	17	28553383	28571794
ENSG00000087338	GMCL1	2	69829660	69881384
ENSG00000087502	ERGIC2	12	29337352	29381189
ENSG00000087586	AURKA	20	56369389	56392337
ENSG00000087995	METTL2A	17	62423875	62453385
ENSG00000088448	ANKRD10	13	110878540	110915069
ENSG00000088812	ATRN	20	3471018	3651118
ENSG00000089060	SLC8B1	12	113298759	113359493
ENSG00000089063	TMEM230	20	5068232	5113103
ENSG00000089094	KDM2B	12	121429096	121581023
ENSG00000089220	PEBP1	12	118136124	118145584
ENSG00000089248	ERP29	12	112013348	112023449
ENSG00000089289	IGBP1	X	70133447	70166324
ENSG00000089597	GANAB	11	62624826	62646726
ENSG00000089916	GPATCH2L	14	76151916	76254342
ENSG00000090273	NUDC	1	26900238	26946871
ENSG00000090470	PDCD7	15	65117379	65133808
ENSG00000090487	SPG21	15	64963022	64990310
ENSG00000091127	PUS7	7	105439661	105522271
ENSG00000091651	ORC6	16	46689643	46698394
ENSG00000091831	ESR1	6	151656691	152129619
ENSG00000091844	RGS17	6	153004459	153131282
ENSG00000092621	PHGDH	1	119648411	119744218
ENSG00000092820	EZR	6	158765741	158819368
ENSG00000092847	AGO1	1	35869808	35930532
ENSG00000093144	ECHDC1	6	127288712	127343609
ENSG00000093183	SEC22C	3	42547969	42601080
ENSG00000095261	PSMD5	9	120815496	120842951
ENSG00000095319	NUP188	9	128947699	129007096
ENSG00000095380	NANS	9	98056732	98083077
ENSG00000095951	HIVEP1	6	12008762	12164999
ENSG00000096060	FKBP5	6	35573585	35728583
ENSG00000096063	SRPK1	6	35832966	35921342
ENSG00000096070	BRPF3	6	36196744	36232790
ENSG00000096080	MRPS18A	6	43671202	43687791
ENSG00000096092	TMEM14A	6	52671113	52686588
ENSG00000096093	EFHC1	6	52362123	52529886
ENSG00000096384	HSP90AB1	6	44246166	44253888
ENSG00000096401	CDC5L	6	44387706	44450425
ENSG00000096433	ITPR3	6	33620365	33696574
ENSG00000096654	ZNF184	6	27450743	27473118
ENSG00000096696	DSP	6	7541617	7586714
ENSG00000097021	ACOT7	1	6264269	6393767
ENSG00000097033	SH3GLB1	1	86704570	86748184
ENSG00000099194	SCD	10	100347233	100364826
ENSG00000099817	POLR2E	19	1086574	1095380
ENSG00000099889	ARVCF	22	19969896	20016823
ENSG00000100028	SNRPD3	22	24555958	24582052
ENSG00000100030	MAPK1	22	21759657	21867680
ENSG00000100084	HIRA	22	19330698	19447450
ENSG00000100106	TRIOBP	22	37697048	37776556
ENSG00000100201	DDX17	22	38483438	38507660
ENSG00000100228	RAB36	22	23145366	23165663
ENSG00000100342	APOL1	22	36253071	36267530
ENSG00000100354	TNRC6B	22	40044817	40335808
ENSG00000100393	EP300	22	41092592	41180077
ENSG00000100418	DESI1	22	41598028	41621043
ENSG00000100461	RBM23	14	22893204	22919182
ENSG00000100664	EIF5	14	103333544	103345025
ENSG00000100813	ACIN1	14	23058564	23095614
ENSG00000100814	CCNB1IP1	14	20311368	20333312
ENSG00000100941	PNN	14	39175183	39183220
ENSG00000100994	PYGB	20	25248085	25298012
ENSG00000101150	TPD52L2	20	63865228	63891545
ENSG00000101181	MTG2	20	62183028	62203568
ENSG00000101246	ARFRP1	20	63698642	63708025
ENSG00000101266	CSNK2A1	20	472498	543835
ENSG00000101294	HM13	20	31514410	31577923
ENSG00000101347	SAMHD1	20	36890229	36951893
ENSG00000101557	USP14	18	158383	214629
ENSG00000101596	SMCHD1	18	2655726	2805017
ENSG00000101608	MYL12A	18	3247481	3256236
ENSG00000101782	RIOK3	18	23453287	23486603
ENSG00000101811	CSTF2	X	100820359	100841520
ENSG00000101843	PSMD10	X	108084207	108091549
ENSG00000101966	XIAP	X	123859724	123913976
ENSG00000102053	ZC3H12B	X	65366638	65507887
ENSG00000102078	SLC25A14	X	130339888	130373361
ENSG00000102531	FNDC3A	13	48975912	49209779
ENSG00000102910	LONP2	16	48244300	48363122
ENSG00000103018	CYB5B	16	69398402	69466264
ENSG00000103196	CRISPLD2	16	84819985	84920768
ENSG00000103342	GSPT1	16	11868128	11916082
ENSG00000103540	CCP110	16	19523811	19553408
ENSG00000103591	AAGAB	15	67200667	67255195
ENSG00000103707	MTFMT	15	65001512	65029639
ENSG00000103855	CD276	15	73683966	73714514
ENSG00000104228	TRIM35	8	27284886	27311272
ENSG00000104343	UBE2W	8	73780097	73878910
ENSG00000104643	MTMR9	8	11284816	11328146
ENSG00000104731	KLHDC4	16	87696485	87765992
ENSG00000104812	GYS1	19	48968130	48993310
ENSG00000104824	HNRNPL	19	38836370	38852347
ENSG00000104915	STX10	19	13144058	13150383
ENSG00000104980	TIMM44	19	7926718	7943667
ENSG00000105058	FAM32A	19	16185380	16192046
ENSG00000105127	AKAP8	19	15353385	15379815
ENSG00000105186	ANKRD27	19	32597006	32676597
ENSG00000105220	GPI	19	34359480	34402413
ENSG00000105223	PLD3	19	40348456	40380439
ENSG00000105372	RPS19	19	41860255	41872925
ENSG00000105438	KDELR1	19	48382575	48391551
ENSG00000105443	CYTH2	19	48469208	48482314
ENSG00000105486	LIG1	19	48115445	48170603
ENSG00000105612	DNASE2	19	12875209	12881466
ENSG00000105669	COPE	19	18899514	18919387
ENSG00000105699	LSR	19	35248330	35267964
ENSG00000105717	PBX4	19	19561707	19618693
ENSG00000105723	GSK3A	19	42226225	42242625
ENSG00000105793	GTPBP10	7	90335223	90391453
ENSG00000105821	DNAJC2	7	103312289	103344830
ENSG00000105887	MTPN	7	135926760	135977359
ENSG00000105939	ZC3HAV1	7	139043515	139132122
ENSG00000105953	OGDH	7	44606572	44709066
ENSG00000105971	CAV2	7	116287380	116508541
ENSG00000106012	IQCE	7	2558972	2614733
ENSG00000106028	SSBP1	7	141738334	141787922
ENSG00000106077	ABHD11	7	73736094	73738852
ENSG00000106105	GARS1	7	30580533	30634033
ENSG00000106261	ZKSCAN1	7	100015572	100041689
ENSG00000106344	RBM28	7	128297685	128343908
ENSG00000106443	PHF14	7	10973336	11169623
ENSG00000106462	EZH2	7	148807257	148884321
ENSG00000106524	ANKMY2	7	16599779	16645817
ENSG00000106785	TRIM14	9	98069275	98119222
ENSG00000107290	SETX	9	132261356	132354986
ENSG00000107341	UBE2R2	9	33817160	33920399
ENSG00000107521	HPS1	10	98416198	98446935
ENSG00000107902	LHPP	10	124461823	124617888
ENSG00000107929	LARP4B	10	806933	931821
ENSG00000108010	GLRX3	10	130136391	130184521
ENSG00000108021	TASOR2	10	5684838	5763740
ENSG00000108107	RPL28	19	55385932	55403250
ENSG00000108256	NUFIP2	17	29255839	29294148
ENSG00000108306	FBXL20	17	39252663	39402523
ENSG00000108474	PIGL	17	16217191	16351797
ENSG00000108510	MED13	17	61942605	62065278
ENSG00000108599	AKAP10	17	19904302	19978343
ENSG00000108639	SYNGR2	17	78168581	78173527
ENSG00000108669	CYTH1	17	78674048	78782297
ENSG00000108848	LUC7L3	17	50719565	50756219
ENSG00000108883	EFTUD2	17	44849948	44899445
ENSG00000109046	WSB1	17	27294076	27315926
ENSG00000109805	NCAPG	4	17810979	17844865
ENSG00000109814	UGDH	4	39498755	39528311
ENSG00000110066	KMT5B	11	68154863	68213828
ENSG00000110330	BIRC2	11	102347211	102378670
ENSG00000110344	UBE4A	11	118359600	118399211
ENSG00000110435	PDHX	11	34915829	35020591
ENSG00000110660	SLC35F2	11	107790991	107928293
ENSG00000110711	AIP	11	67468174	67491154
ENSG00000110721	CHKA	11	68052859	68121444
ENSG00000110888	CAPRIN2	12	30709552	30823302
ENSG00000110925	CSRNP2	12	51061205	51083664
ENSG00000110958	PTGES3	12	56663341	56688408
ENSG00000111011	RSRC2	12	122503454	122527000
ENSG00000111144	LTA4H	12	96000753	96043520
ENSG00000111229	ARPC3	12	110434823	110450422
ENSG00000111261	MANSC1	12	12326056	12350242
ENSG00000111275	ALDH2	12	111766887	111817532
ENSG00000111445	RFC5	12	118013588	118033130
ENSG00000111530	CAND1	12	67269358	67319953
ENSG00000111581	NUP107	12	68686951	68745809
ENSG00000111653	ING4	12	6650301	6663142
ENSG00000111670	GNPTAB	12	101745499	101830959
ENSG00000111674	ENO2	12	6913745	6923698
ENSG00000111799	COL12A1	6	75084326	75206267
ENSG00000111801	BTN3A3	6	26440472	26453415
ENSG00000111802	TDP2	6	24649979	24666930
ENSG00000111816	FRK	6	115931149	116060891
ENSG00000111817	DSE	6	116254173	116444861
ENSG00000111832	RWDD1	6	116571409	116597675
ENSG00000111834	RSPH4A	6	116616479	116632985
ENSG00000111837	MAK	6	10762723	10838553
ENSG00000111843	TMEM14C	6	10722915	10731129
ENSG00000111845	PAK1IP1	6	10694972	10709782
ENSG00000111846	GCNT2	6	10492223	10629368
ENSG00000111850	SMIM8	6	87322583	87399749
ENSG00000111859	NEDD9	6	11183298	11382348
ENSG00000111860	CEP85L	6	118460772	118710075
ENSG00000111863	ADTRP	6	11712054	11807046
ENSG00000111875	ASF1A	6	118894152	118909171
ENSG00000111877	MCM9	6	118813442	118935162
ENSG00000111879	FAM184A	6	118959763	119149387
ENSG00000111880	RNGTT	6	88609897	88963618
ENSG00000111885	MAN1A1	6	119177205	119349761
ENSG00000111886	GABRR2	6	89254464	89315299
ENSG00000111897	SERINC1	6	122443351	122471807
ENSG00000111906	HDDC2	6	125219962	125302078
ENSG00000111907	TPD52L1	6	125119049	125264407
ENSG00000111911	HINT3	6	125956770	125980244
ENSG00000111912	NCOA7	6	125781161	125932034
ENSG00000111913	RIPOR2	6	24804282	25042170
ENSG00000111961	SASH1	6	148272304	148552044
ENSG00000111962	UST	6	148747030	149076990
ENSG00000111981	ULBP1	6	149963943	149973715
ENSG00000112029	FBXO5	6	152970519	152983579
ENSG00000112031	MTRF1L	6	152987362	153002709
ENSG00000112033	PPARD	6	35342558	35428191
ENSG00000112038	OPRM1	6	154010496	154246867
ENSG00000112039	FANCE	6	35452338	35467102
ENSG00000112041	TULP1	6	35497874	35512896
ENSG00000112053	SLC26A8	6	35943516	36024868
ENSG00000112062	MAPK14	6	36027677	36111236
ENSG00000112077	RHAG	6	49605175	49636839
ENSG00000112078	KCTD20	6	36442767	36491143
ENSG00000112079	STK38	6	36493892	36547479
ENSG00000112081	SRSF3	6	36594353	36605600
ENSG00000112096	SOD2	6	159669069	159762529
ENSG00000112110	MRPL18	6	159789812	159798436
ENSG00000112118	MCM3	6	52264014	52284881
ENSG00000112130	RNF8	6	37353979	37394734
ENSG00000112144	CILK1	6	53001279	53061824
ENSG00000112146	FBXO9	6	53051991	53100873
ENSG00000112149	CD83	6	14117256	14136918
ENSG00000112159	MDN1	6	89642498	89819794
ENSG00000112164	GLP1R	6	39048781	39091303
ENSG00000112167	SAYSD1	6	39104063	39115186
ENSG00000112182	BACH2	6	89926528	90296908
ENSG00000112186	CAP2	6	17393595	17557780
ENSG00000112200	ZNF451	6	57086844	57170305
ENSG00000112208	BAG2	6	57172326	57189833
ENSG00000112210	RAB23	6	57186992	57222307
ENSG00000112214	FHL5	6	96562548	96618626
ENSG00000112218	GPR63	6	96794125	96837477
ENSG00000112234	FBXL4	6	98868535	98948006
ENSG00000112237	CCNC	6	99542387	99568825
ENSG00000112242	E2F3	6	20401879	20493714
ENSG00000112249	ASCC3	6	100508194	100881372
ENSG00000112280	COL9A1	6	70216040	70303084
ENSG00000112282	MED23	6	131573966	131628242
ENSG00000112290	WASF1	6	110099819	110180004
ENSG00000112293	GPLD1	6	24424565	24495205
ENSG00000112294	ALDH5A1	6	24494867	24537207
ENSG00000112297	CRYBG1	6	106360717	106572017
ENSG00000112299	VNN1	6	132680849	132714055
ENSG00000112304	ACOT13	6	24667035	24705065
ENSG00000112305	SMAP1	6	70667776	70862011
ENSG00000112306	RPS12	6	132814569	132817564
ENSG00000112308	C6orf62	6	24704861	24719998
ENSG00000112309	B3GAT2	6	70856679	70957060
ENSG00000112312	GMNN	6	24774931	24786099
ENSG00000112319	EYA4	6	133240514	133532128
ENSG00000112320	SOBP	6	107490106	107661306
ENSG00000112335	SNX3	6	108211222	108261246
ENSG00000112339	HBS1L	6	134960378	135103056
ENSG00000112343	TRIM38	6	25962802	25991231
ENSG00000112357	PEX7	6	136822564	136913934
ENSG00000112365	ZBTB24	6	109462594	109483219
ENSG00000112367	FIG4	6	109690609	109878098
ENSG00000112378	PERP	6	138088505	138107419
ENSG00000112379	ARFGEF3	6	138161939	138344663
ENSG00000112394	SLC16A10	6	111087503	111231194
ENSG00000112406	HECA	6	139135080	139180802
ENSG00000112414	ADGRG6	6	142301854	142446266
ENSG00000112419	PHACTR2	6	143536845	143831185
ENSG00000112425	EPM2A	6	145382535	145736023
ENSG00000112486	CCR6	6	167111807	167139141
ENSG00000112494	UNC93A	6	167271169	167316014
ENSG00000112499	SLC22A2	6	160171061	160277638
ENSG00000112511	PHF1	6	33410399	33416453
ENSG00000112514	CUTA	6	33416442	33418317
ENSG00000112530	PACRG	6	162727132	163315500
ENSG00000112531	QKI	6	163414000	163578592
ENSG00000112539	C6orf118	6	165279664	165309605
ENSG00000112541	PDE10A	6	165327287	165988117
ENSG00000112559	MDFI	6	41636882	41654244
ENSG00000112562	SMOC2	6	168441151	168673445
ENSG00000112576	CCND3	6	41934934	42050357
ENSG00000112578	BYSL	6	41921499	41933046
ENSG00000112584	FAM120B	6	170290703	170407067
ENSG00000112592	TBP	6	170554302	170572870
ENSG00000112619	PRPH2	6	42696598	42722597
ENSG00000112624	BICRAL	6	42746958	42868558
ENSG00000112655	PTK7	6	43076307	43161719
ENSG00000112658	SRF	6	43171269	43181506
ENSG00000112659	CUL9	6	43182184	43224587
ENSG00000112667	DNPH1	6	43225629	43229481
ENSG00000112679	DUSP22	6	291630	351355
ENSG00000112685	EXOC2	6	485154	693139
ENSG00000112695	COX7A2	6	75237675	75250323
ENSG00000112697	TMEM30A	6	75252924	75284948
ENSG00000112699	GMDS	6	1623806	2245605
ENSG00000112701	SENP6	6	75601509	75718281
ENSG00000112706	IMPG1	6	75921114	76072678
ENSG00000112715	VEGFA	6	43770184	43786487
ENSG00000112739	PRPF4B	6	4021267	4064983
ENSG00000112742	TTK	6	80003887	80042527
ENSG00000112759	SLC29A1	6	44219553	44234142
ENSG00000112761	CCN6	6	112054075	112069686
ENSG00000112763	BTN2A1	6	26457904	26476621
ENSG00000112773	TENT5A	6	81491439	81752774
ENSG00000112782	CLIC5	6	45880827	46080348
ENSG00000112796	ENPP5	6	46159185	46170980
ENSG00000112812	PRSS16	6	27247701	27256624
ENSG00000112818	MEP1A	6	46793389	46839778
ENSG00000113013	HSPA9	5	138553756	138575675
ENSG00000113119	TMCO6	5	140639435	140645408
ENSG00000113141	IK	5	140647058	140662480
ENSG00000113194	FAF2	5	176447628	176510074
ENSG00000113272	THG1L	5	157731420	157741449
ENSG00000113328	CCNG1	5	163437569	163446151
ENSG00000113448	PDE4D	5	58969038	60522120
ENSG00000113456	RAD1	5	34905260	34918989
ENSG00000113575	PPP2CA	5	134194332	134226073
ENSG00000113645	WWC1	5	168291645	168472303
ENSG00000113648	MACROH2A1	5	135334381	135399914
ENSG00000113712	CSNK1A1	5	149492982	149551471
ENSG00000113790	EHHADH	3	185190624	185281990
ENSG00000113811	SELENOK	3	53884417	53891885
ENSG00000113924	HGD	3	120628172	120682269
ENSG00000114019	AMOTL2	3	134355347	134375479
ENSG00000114030	KPNA1	3	122421902	122514945
ENSG00000114107	CEP70	3	138494344	138594538
ENSG00000114126	TFDP2	3	141944428	142149544
ENSG00000114491	UMPS	3	124730433	124749273
ENSG00000114520	SNX4	3	125446650	125520202
ENSG00000114573	ATP6V1A	3	113747033	113812056
ENSG00000114744	COMMD2	3	149738472	149752495
ENSG00000114956	DGUOK	2	73926826	73958961
ENSG00000114978	MOB1A	2	74152528	74178898
ENSG00000115053	NCL	2	231453531	231483641
ENSG00000115091	ACTR3	2	113890063	113962596
ENSG00000115128	SF3B6	2	24067586	24076373
ENSG00000115170	ACVR1	2	157736251	157876330
ENSG00000115241	PPM1G	2	27381195	27409591
ENSG00000115368	WDR75	2	189441446	189475552
ENSG00000115486	GGCX	2	85544720	85561532
ENSG00000115677	HDLBP	2	241227264	241317061
ENSG00000115685	PPP1R7	2	241149576	241183652
ENSG00000115827	DCAF17	2	171434217	171485052
ENSG00000115839	RAB3GAP1	2	135052289	135176667
ENSG00000115866	DARS1	2	135905881	135986100
ENSG00000115966	ATF2	2	175072250	175168382
ENSG00000116005	PCYOX1	2	70257386	70281185
ENSG00000116209	TMEM59	1	54026681	54053504
ENSG00000116285	ERRFI1	1	8004404	8026309
ENSG00000116288	PARK7	1	7954291	7985505
ENSG00000116299	ELAPOR1	1	109113679	109206781
ENSG00000116459	ATP5PB	1	111448864	111462773
ENSG00000116560	SFPQ	1	35176378	35193145
ENSG00000116717	GADD45A	1	67685201	67688334
ENSG00000116731	PRDM2	1	13700188	13825079
ENSG00000116761	CTH	1	70411218	70439851
ENSG00000116830	TTF2	1	117060326	117107453
ENSG00000116918	TSNAX	1	231528541	231566524
ENSG00000117481	NSUN4	1	46340789	46365152
ENSG00000117519	CNN3	1	94896949	94927223
ENSG00000117525	F3	1	94529173	94541759
ENSG00000117592	PRDX6	1	173477330	173488815
ENSG00000117616	RSRP1	1	25242249	25338213
ENSG00000117632	STMN1	1	25884181	25906991
ENSG00000117859	OSBPL9	1	51577179	51798427
ENSG00000117868	ESYT2	7	158730995	158830253
ENSG00000117899	MESD	15	80946289	80989828
ENSG00000118257	NRP2	2	205681990	205798133
ENSG00000118407	FILIP1	6	75291859	75493800
ENSG00000118412	CASP8AP2	6	89829894	89874436
ENSG00000118418	HMGN3	6	79201245	79234738
ENSG00000118420	UBE3D	6	82892390	83065841
ENSG00000118434	SPACA1	6	88047841	88066838
